Lugar,Estrellas,Comentario,Red_Social
Rivera_Maya,5.0,zona arqueologica pasos playa delfines pequeña hermosa existe fauna hace increible recorrido,Maps
Rivera_Maya,4.0,encuentra zona hotelera cancun asi visitarlo facil zona arqueologica pequeña bien cuidad definitivamente lugar bueno visitar recorre rapido aproximadamente 1hora lugar cuenta baños mexicanos acceso gratuito,Maps
Rivera_Maya,5.0,trata sitio rector dominaba isla cancun llegada hispanos rey sitio clasico arquitectura costa oriental decir edificaciones bajas alta templo principal 5 5 metros alto sitio embargo hermoso donde ademas ver lados iguanas negras vez restos jungla original isla 70 s comenzaron construirse hoteles recomiendo lleven protector solar gafas sol agua vale pena muchisimo conocerla encuentras cancun,Maps
Rivera_Maya,3.0,voy opinar amante arqueologia indigena americana 1 unica infografia encontre pasar 2 turista tomando iguanas manos incluso fuerza 3 vale casi mismo museo cielo tierra diferencia,Maps
Rivera_Maya,3.0,vacio caro lindo ver iguanas,Maps
Rivera_Maya,3.0,encuentra ubicado zona hotelera cancun lugar ideal visitar caso cortos tiempo hacer turismo recorrido hace hora maximo dispone mediodia puede combinar visita zona arqueologica meco diferencia ultimo rey mucha vegetacion escudarse sol ello recomiendo llevar bloqueador solar ropa manga larga fresca zapatos comodos desee posible sombrilla igual meco lugar historia maya vale pena escuchar viva voz guia turistico zona,Maps
Rivera_Maya,4.0,zona arqueologica rey bien dicen zona arqueologica pequeña recorres calma 30 40minutos encargados amables tomen cuenta puedes ser facilmente victima cobros exagerados estacionamientos privado cobren estacionarse sitio zona arqueologica estacionamiento pequeño espacio habilitado pequeña area apenas entran 3 coches suerte puedes estacionarte lugar,Maps
Rivera_Maya,5.0,excelente lugar conocer vivian antiguos mayas secretos construccion poblados templo increible paz respira increible,Maps
Rivera_Maya,5.0,lugar bastante bonito tranquilo pequeño lugar recorre 10 min ingresar hacen observacion prohibido subirse areas aun conservan asi molestar iguanas desafortunadamente existe mucha gente irrespetuosa haber seguridad recorrido encontre mucha gente subiendose areas simple hecho tomarse foto favor visitan tipo lugares haga caso indicaciones preservar bonitos lugares,Maps
Rivera_Maya,5.0,bonita solitaria ojala personas animaran visitarla mosquito sugerimos repelente,Maps
Rivera_Maya,5.0,ruinas pequeñas curiosas lugar limpio trabajadores amables precio razonable 75 pesos,Maps
Rivera_Maya,5.0,zona arqueologica relativamente pequeña bonita ademas concurrida parecer vinimos visitar zona arqueologica san miguelito decia conexion zona rey,Maps
Rivera_Maya,4.0,yacimiento arqueologico reducido modesto respira tranquilidad dan centros mayas restos tres secciones edificaciones seccion central mejores condiciones restos 7 edificios formaban complejo habitacional piramide edificio ventanas protegido palapa habitan aves iguanas viboras buena opcion convivir naturaleza despues caminar hacia mirador playa delfines,Maps
Rivera_Maya,3.0,siento hacen falta descripciones lugar curaduria arqueologica sitio medio solitario investigar entender mejor historia gratis domingos mexas,Maps
Rivera_Maya,3.0,ver cobran sola explicacion ruinas deberian invertir repelente lleven sales piquetes cabello reinas ahi cantidad iguanas viven,Maps
Rivera_Maya,3.0,zona ubicada costa cancun pasos museo maya zona arqueologica san miguelito lugar disfrutar conocer,Maps
Rivera_Maya,3.0,bonito lugar desangelado falta guia interaccion turista,Maps
Rivera_Maya,3.0,lindo lugar visitar conocer cultura ubicado pocos metros playa publica delfines,Maps
Rivera_Maya,3.0,pequeña zona arqueologica dentro zona hotelera lleno iguanas domingos entrada libre mexicanos muestren identificacion oficial embargo hace lamentable encargado revisar ifes grosero mismos compatriotas reviso credenciales tal desconfianza falsas leguas ve originalidad aparte acento aspecto fisico hace ver mexicanos asi invito ser amable evitar gestos lugar,Maps
Rivera_Maya,3.0,maravillas cultura maya sorprende tanta cultura ciencia lugar encanto imperdible vida visitalo,Maps
Rivera_Maya,3.0,zona arqueologica encontraron rey encuentra sitio 5 min auto rumbo zona hotelera,Maps
Rivera_Maya,3.0,puse tres estrellas publicitado lugar bien cuidado muestra contrucciones importantes cancun isla creo debe promocionar mejorar fachada hacerlo atractivo,Maps
Rivera_Maya,3.0,bonito lugar zona arqueologica recorrido 15 minutos atraccion iguanas molestar pasar 25 minutos buenos,Maps
Rivera_Maya,1.0,confuso gente amable personas estacionamiento quieren aprovecharse recomendaria comprar entradas adelantado puro efectivo mexicano lleva identificacion den mejor precio,Maps
Rivera_Maya,1.0,llegas espectativa conocer lugar historia parte grandes culturas mexico topas desagradable sorpresa muchas ruinas modificadas reconstruidas perder turismo da tristeza coraje quieran siempre ver ganancia puedan tener aun engaños,Maps
Rivera_Maya,1.0,pesimo servicio entrada gente taquilla grosera pesima presentacion lugar descuidado cara entrada condiciones abandono encuentra unico llamo verdaderamente atencion iguanas pasean libremente lugar,Maps
Rivera_Maya,1.0,nunca encontre acceso entrar deben promoverlo ubers taxistas conocen lugar perdidos para peaton va pies dificil llegar playa indicaciones pude ir sugerencia tener mejores accesos peatones cerca playa delfines promover lugar conoce local,Maps
Rivera_Maya,1.0,lugar bonito 4estrellas amable cierta manera grosero personal entrada 1estrella recomienda llevar sobrilla cuentan estacionamiento,Maps
Rivera_Maya,1.0,laminas den contexto viendo solo dos laminas todas estructuras olvides repelente insectos pican muerden,Maps
Rivera_Maya,1.0,visitar zona arqueologica dijeron encuentra cerrada marzo 2019 fecha aun apertura,Maps
Rivera_Maya,1.0,lamentablemente pudimos entrar cerrado lugar acuerdo platicaron varios lugareños sitio arqueologico raramente disponible,Maps
Rivera_Maya,1.0,justo q aun sigan anunciando q funcionamiento pues mañana dia 22 nov 20 presente zona sigue cerrado pues persona q vigilancia dijo q abierto marzo mismo año,Maps
Rivera_Maya,1.0,encargado lugar cerro hora indicada ultimo acceso verdadera injusticia vamos tan lejos conocer mexico peor levanto asiento negarnos entrada mal tipo empleados inah,Maps
Rivera_Maya,1.0,dia hoy domingo 18 octubre negaron entrada pese pagina mencionan abierto comente persona encargada dijo instrucciones abrir publico,Maps
Rivera_Maya,1.0,queria probarlo llevaba 5 dias cancun queria experiencia completa esperaba especial comparado lugares increibles visitado dias anteriores chichen itza tulum hizo experiencia horrible chico recepcion grosero educado servicial parecia aburrido frustrado sinceramente perdida tiempo dinero,Maps
Rivera_Maya,1.0,tardamos 40 minutos encontrar entrada despues tipo dijo cerrada aunque google decia abierta,Maps
Rivera_Maya,2.0,mini zona arqueologica solo letrero informativo civilizacion solo vi supe zona arqueologica rey,Maps
Rivera_Maya,2.0,pequeño creo vale 55 entrada normal casi explicaciones recomiendo,Maps
Rivera_Maya,2.0,recomiendo ruinas absoluto pierda tiempo ruinas ver informacion respecto sol matador entrada barata 2 5 puede pagarse tarjeta tiempo invertido merece falta explicacion viendo aunque bien cuidado espacio ruinas quedan pocas estacionamiento estacionar calle caso robaron maletas alli asi recomiendo estacionar alli,Maps
Rivera_Maya,2.0,vale pena entrada cuesta 50 pesos mexicanos,Maps
Rivera_Maya,2.0,casi ve entrada escondida hace pagar 70 lugar descuidado practicamente informacion lugar salvo cuantos cuadros creo podrian darle mejor mantenimiento restauracion valga pena,Maps
Rivera_Maya,2.0,cobran 70pesos mx persona realidad dicen persona q ahi da sugerencias embarazada dijo q puedo usar baño solo caminar,Maps
Rivera_Maya,2.0,ven ruinas dentro propiedad campo golf bien poder entrar alguien podio entrar parte campo golf,Maps
Rivera_Maya,2.0,sitio espectacular informacion historia sitio unico guia molesta pagas pide,Maps
Rivera_Maya,2.0,tan espectacular sitios arqueologicos cerca riviera maya historia importante civilizacion maya,Maps
Rivera_Maya,2.0,cuenta indicadores ruinas asi contratas guia cuenta das,Maps
Rivera_Maya,2.0,cobran dan mantenimiento,Maps
Rivera_Maya,2.0,buen sitio engañosos precios sitio web dice entrada cuesta 55 pesos letrero entrada dice 145 turistas 80 locales mala suerte,Maps
Rivera_Maya,2.0,experiencia extraña hotel dijeron ruinas acceso google maps asi malentendido hablo español fluidez fin incluso bajar escaleras mosquitos dando festin digo menos 20 30 cada vendedor billetes detras pared habla dije queriamos ver ruinas dijo solo aceptaba efectivo pesos dolares estadounidenses tarjeta terminal dijimos despues dijeron extraño inaudito dio pena entrar pegatinas repelentes mosquitos mosquitos tardaron segundos detectarlos preocupados hijos hotel dijeron andaba ahi dengue taxistas botones excepto dijeron ruinas zona hotelera miedo salir zona hotelera pagado incluido dos niños pequeños llegar tulum chichen itza simplemente iba suceder viaje tan corto,Maps
Rivera_Maya,2.0,lamentablemente quedan pocas cosas aparte muchisimas iguanas,Maps
Rivera_Maya,2.0,75 pesos escritos declarados pague billete 100 pesos embargo hombre devolvio 23 pesos dijo inmediatamente se solo 2 pesos podria haberme dicho cambio lugar irse normal aqui cancun,Maps
Rivera_Maya,2.0,basicamente caminar estructuras cortas solo borde zona intermedia supone caminar inundada realmente deberian invertir dinero agregar drenaje,Maps
Rivera_Maya,2.0,quienquiera hombre atendia taquilla 15 abril 1 17 llegue acogedor seco profesional igual guia turistico molesto amablemente rechace visita ademas personal amable visitar sitio experiencia agradable,Maps
Rivera_Maya,2.0,decepcionante visita guiada poca informacion diga viendo aparte ruinas mayas antiguo templo claro cobren entrada esperaba reseñas dicen puede ir andando mujer vas sola dios quiera mujer quiera hacer tour sola haria hombre olvidalo siquiera pude caminar distancia tres hoteles ser acosada sexualmente menos docena lugareños distintos casos,Maps
Rivera_Maya,2.0,merezco mejor 50 pesos puede ir 20 kilometros adelante sitio igual pequeño piramide mejor conservada,Maps
Rivera_Maya,2.0,caro ver absolutamente ninguna informacion ninguna estructuras estacionamiento pequeña zona desvia carretera principal hacia sur ligeramente norte letrero rey,Maps
Rivera_Maya,2.0,visitado sitios mayas yucatan dara mucha informacion casi ningun edificio queda pie solo ven planos suelo piedra viaje tulum chichen itza merece pena,Maps
Rivera_Maya,2.0,solo iguanas genial nadie conto viendo verdad impresiono,Maps
Rivera_Maya,2.0,piedras pasto paneles informativos costo entrada 2018 aprox 75 pesos mexicanos persona tour 100 pesos mexicanos persona,Maps
Rivera_Maya,3.0,lugar pequeño solo 500mts cuadrados tantas ruinas tal igual zona hotelera quieres unas foto zona historica bien lugar,Maps
Rivera_Maya,3.0,bien lugar conocer diferentes estructuras antiguas culturas contacto naturaleza muchas iguanas malo pocas estructuras algun tipo explicacion mismas mismo realmente sabemos viendo costo acceso 70 00 pesos mexicanos personas tercera edad estudiantes presentando credencial vigente pagan recorrido general bastante rapido alrededor 30 minutos,Maps
Rivera_Maya,3.0,buen yacimiento arqueologico merece pena visitarlo obstante gestion museistica mejorable apenas explicaciones viendo patrimonio historico merece,Maps
Rivera_Maya,3.0,lugar bien cuidado pocas ruinas solo quedaron cimientos lugar repleto iguanas entrada economica recomiendo ir temprano sol da lleno este lugar donde resguardarse sol como lugar conocido filas ingresar como pie carretera sufriras encontrar lugar donde estacionarte general lugar visitar donde tardaras hora,Maps
Rivera_Maya,4.0,entrada 2025 100 pesos nacionales domingo entrada gratuita salas museo pequeñas recorre rapido cuentan mucha informacion piezas solo español aire acondicionado buena iluminacion quizas solo mala suerte luz dia area aseos limpio general descuidado ser museo,Maps
Rivera_Maya,5.0,personal lugar amable problema salas exhibiciones artesanias aire acondicionado encierra demasiado calor ve ductos ventilacion seguramente descompuesto funcionamiento lugares pequeño recorre bastante rapido duda disfruta espacio muestran zona piramide mosquitos cuidado acercan lleven buen repelente excelente lugar ver artesanias pequeños fragmentos ruinas,Maps
Rivera_Maya,4.0,museo alberga joyas historicas cancun gusto muchisimo combinara parte tipo museo parte arqueologica senderos lugar falta inversion baños descuidados museo aire acondicionado salas super calientes bastante incomodo embargo experiencia visitar lugar inigualable parada bus 3 minutos caminando hace bastante accesible,Maps
Rivera_Maya,4.0,costo nacionales 100 domingos gratis nacional local museo digamos pequeño recorre hora das tiempo leer zona arqueologia realmente pequeña lindo paseo dominical ojo clima hace calor adentro lleven abanico mano toalla pal sudor,Maps
Rivera_Maya,5.0,agradable lugar conocer acerca cultura maya ruinas poquitas gusta historia disfrutas tienda museo ofrece souvenirs buen precio compre iman mascara teotihuacana hecha mano libro colorear super padre libro,Maps
Rivera_Maya,5.0,zona arqueologica bien pequeña bien conservada museo super bien mucha informacion falta mantenimiento baños lockers personal amable nacional domingo cancun par horas libres lugar super bien,Maps
Rivera_Maya,1.0,descuidado hace falta muchisima inversion muchas ruinas vestigios mayas encontramos descripcion tampoco puedes dar idea modelos tridimensionales mediante codigos qr ambientacion bocinas aves tiempo manera ejemplo canto famoso ave extinta kauaʻi ʻōʻō moho braccatus especie hawai lugar hace falta pena puedan explotar maximo,Maps
Rivera_Maya,4.0,bonito museo diferentes piezas arqueologicas falta mantenimiento elevadores funcionan recomiendo llevar repelente mosquitos area piramides mosquitos,Maps
Rivera_Maya,5.0,bonito pequeño piezas arqueologicas interesantes video corto cuenta historia luego puedes hacer recorrido caminado super cortico ahi mismo ver unas ruinas toma 2 horas haces tiempo solo quieres ver museo 1 hora suficiente parqueadero gratuito costo creo 240 mxn persona extranjeros,Maps
Rivera_Maya,4.0,amante cultura naturaleza puedes perder encontraras informacion interesante cultura maya vestigios arqueologicos ruinas san miguelito recorrido salas ruinas deberia tomarte 2 horas impresionante recorrer adentrarte pedazo selva recorrer ruinas encontraras camino sinnumero iguanas serpientes,Maps
Rivera_Maya,4.0,bien recorrido zona arqueologica bueno lleno naturaleza historia lado museo muestra interesantes exposiciones mejorar experiencia añadir aire acondicionado cada sala encierra calor,Maps
Rivera_Maya,5.0,edificio impresionante actualmente parece indicar va inminente deterioro descuidado mantenimiento tamaño inmueble unicamente dos salas abiertas publico impresionante contenido espero mantenga coleccion mantenimiento adecuado pueda recibir mayor difusion recorrido pequeña zona arqueologica encantador recomiendo ir,Maps
Rivera_Maya,5.0,excelente visita completo explicativo queda bien claro coleccion artefactos impresionantes lindo bastante completo zona encuentra falta difusion informacion turistas bien ubicado zona hotelera facil llegar zona arqueologica pobre interesante recomienda llevar repelente mosquitos buena experiencia,Maps
Rivera_Maya,5.0,historia maya diseño moderno frente laguna alberga impresionante coleccion objetos mayas inah ademas zona arqueologica san miguelito rodeada selva cercana laguna nichupte mejor 300 piezas arqueologicas originales junto reproducciones fieles exhibidas preservar originales salas bien diseñadas informacion clara español ingles recursos visuales enriquecen recorrido incluye acceso san miguelito ruinas autenticas rodeadas naturaleza ciudad moderna muchas iguanas vigilante entrada lugar mejor hizo recomendaciones aviso zona rey frente mirador delfines abierta 1000 puntos peor aire acondicionado recomienda comenzar salas interiores luego salir sendero arqueologico tampoco funciona elevador tienda libros cultura maya museo pequeño puede visitarse 12horas buscas exposiciones interactivas pedagogia avanzada puede quedarse corto sala temporal veces cerrada recomendaria vale pena buscas introduccion clara cultura maya salir zona hotelera ideal plan alternativo quieres comer cultura cafe comida cercana educativo ser pesado entrada general costo 100 mxn incluye acceso san miguelito estacionamiento gratis lleva agua sombrero ropa ligera repelente mosquitos perdonan,Maps
Rivera_Maya,4.0,lugar pocas piezas zona arqueologica pequeña servia aire acondicionado,Maps
Rivera_Maya,5.0,impactante sublime extraordinario maravilloso bello cuenta piezas totalmente hermosas relieves perfectos llenos historia detalles perfectos portaincensarios sublimes hermoso cancun demas ciudad b sur instalada ben3ficio priv dos recinto representa mexico peninsula cancun verdadero unico legado representa mexico cultura sublime grandes valendarios fascinacion venus estelas relieves logogramas gran manejo cero famosa cuenta larga noche galactica 1000 1000 maestros inapam 100 gratuito,Maps
Rivera_Maya,4.0,estructuralmente bonito unas vitrinas bonitas exhibicion todas artefactos historia maya falta aire acondicionado mantenimiento baños,Maps
Rivera_Maya,5.0,excelente museo malo contaba aire acondicionado lugar dudas excelente museo visitar,Maps
Rivera_Maya,5.0,experiencia genial super recomendada descuentos mexicanos domingo gratis paisanos recomendado apto personas pavor serpientes reptiles pues cruzas cada vuelta recorrido,Maps
Rivera_Maya,4.0,lugar hermoso zona arqueologica museo pequeño vale pena pata personas gustan espacios,Maps
Rivera_Maya,4.0,lugar bonito agradable buena informacion historia mayas pequeña zona arqueologica lugar alebrijes malo personal guia clara espacios podria ser lugar mejor desaprovechado,Maps
Rivera_Maya,3.0,triste ver falta mantenimiento lugar tan especial ruinas piezas arqueologicas excelentes edificio ve mejores tiempos museo aire acondicionado hace meses funcionan elevadores paredes despintadas partes corroidas realmente da pena,Maps
Rivera_Maya,3.0,visita mal costo entrada 100 lunes sabado excepto estudiantes domingos dia libre solo muchisimos mosquitos terminas picado incluso repelente varias iguanas vista pequeño lugar,Maps
Rivera_Maya,5.0,museo dedicado cultura maya pequeña zona arqueologica vale pena visitarlo,Maps
Rivera_Maya,4.0,museo descuidado ciertas zonas sala principal restos arquelogicos bien cuidados permiten entrada credencial estudiante agradece general buena experiencia interesante forma conocer cultura,Maps
Rivera_Maya,4.0,bonito museo piezas mayas increibles sendero visitas varias ruinas pequeña piramide andas cercas gusta historia dudes visitarlo,Maps
Rivera_Maya,1.0,ido museos mundo da pena pais tan descuidados museo podria ser lindo mejoran mantenimiento ve descuidado muchas partes cerradas funcionan prendido aire acondicionado hace calor humedad adentro preocupa pueda dañar obras exhibidas luces apagadas explicacion cada pieza casi nula dio pena turistas extranjeros vienen conocer hermoso pais,Maps
Rivera_Maya,4.0,pequeño tomas tiempo podras encontrar cosas interesantes coleccion conchas llamo atencion tambien bastantes articulos cultura maya tambien piramide restos algun dia fueros casas falta vida lugar vale pena darse vuelta domingos cobran vas ine,Maps
Rivera_Maya,1.0,expectativas bajas resultaron peor esperaba museo olvidado servicio agua sanitarios aire acondicionado salas tienda souvenir abandonada autoridades deberia empezar invertir cuidar sitios fin volvere ir experiencia desagradable,Maps
Rivera_Maya,4.0,pues tan grande poca seguridad bonito,Maps
Rivera_Maya,3.0,dias lunes museo encuentra cerrado cierran 5 30pm recorrido haces hora solo dejes llevar fotos buen plan conocer poquito culturas antiguas habitaron cancun area galeria exposiciones variedad artistas gustos,Maps
Rivera_Maya,5.0,lugar pequeño super bonito genial conocer cultura maya menos introduccion tema pasamos bien malo elevadores funcionan asi alguien cansa edad etc seguir caminando bajar planta baja escaleras,Maps
Rivera_Maya,1.0,museo ve abandonado elevador sirve solo dos salas climatizadas unico gusto ver ruinas mayas naturaleza oasis dentro tantos hoteles cancun gustaria pusieran atencion lugar promocion,Maps
Rivera_Maya,4.0,hermoso lugar visitar zona arqueologica cuenta museo recomiendo ir temprano llevar agua embotellada puedes pasar termos metal yetis similares pagar grabar aunque celular 63 pesos salas museo cuentan aire acondicionado personal amable baños mal olor cuenta estacionamiento acceso personas sillas ruedas,Maps
Rivera_Maya,2.0,descuidado aire acondicionado casi año triste ver encuentra,Maps
Rivera_Maya,5.0,interesante salas ve abandonado do demas padre recomendacion lleva repelente pora buen mosquitos suficiente agua hidratarte recorrido importante llevar ine menores credencial fotografia escolar domingos entrada gratis nacionales,Maps
Rivera_Maya,5.0,museo grande bien precio entrada costo 95 pesos maestros estudiantes credencial entran gratis recomiendo ir pongan repelente mosquitos incluyendo ropa cara zona arqueologica muchisimos,Maps
Rivera_Maya,5.0,lugar bonito personas aprecian cultura maya disfrutan naturaleza encuentra zona arqueologica san miguelito recomiendo venir dias domingo entrada libre nacionales presentando ine,Maps
Rivera_Maya,4.0,grande puede tomarte hora media recorrerlo totalidad recomiendo primero ver exposicion breve piezas ceramicas talladas utensilios piezas ceremoniales barro tan llamativo museos pais recomiendo tomen tiempo viendolo realmente ver entrada zona arqueologica justo lado rampa caminito volvi zona museo ver donde temporada lluvia advirtieron mosquitos incredulo decidi aun asi entrar repelente locura nunca visto tantos mosquitos piernas brazos etc advirtieron usar repelente hagalo enfrente museo 7 eleven quizas ahi vendan zona arqueologica pequeña aprovechen apreciar asi clima region cachito selva asi toda zona solo hoteles dificilmente ven parte,Maps
Rivera_Maya,4.0,recomiendo llevar repelente mosquitos visitaran zona arqueologica lugar bonito aunque ve solo guardia entrada amable costo persona 90 pesos aproximadamente domingos cobran solo sirve elevador bastante humedad respecto salas interesantes vale pena visitarlo,Maps
Rivera_Maya,2.0,pena museo español ingles pobre 2 salas arquelogia fotos 1 video solo español da pena mitad cerrado afuera bonito mas cuidadores afuera pena fotos ven mias filtrar 3 veces reconociera objeto,Maps
Rivera_Maya,4.0,museo abarca manera rapida historia cultura maya hermosas piezas arqueologia area museo llevar ventilador portatil abanico pues hace calor zona arqueologica aire libre usar repelente insectos pues area mucha vegetacion gran tamaño caminar ir descubriendo asentamientos mayas,Maps
Rivera_Maya,5.0,disfrute mucha gente museo bien expuesto siempre cuidado vigilantes nadie toque piezas zona arqueologica pequeña bonita personal taquillas amable baños limpios aunque solo funcionan entrada estacionamiento aunque 20 espacios,Maps
Rivera_Maya,5.0,lugar bello interesante vez subes museo vista increible amplio bastante informacion cultura maya entrada cuesta 85 nacionales extranjeros presentas credencial estudiante maestro acceso libre llega temprano ver tranquilidad todas salas recorrer zona arqueologica,Maps
Rivera_Maya,2.0,desperdicio lugar amplias instalaciones ver creo deberian exponer piezas cultura maya pocas bien conservadas interesantes podria haber instalaciones bonitas cuidadas mayoria aunque presentan fallas goteras fallas elevadores creo potencial futuro buena inversion podria ser lugar visitado conocido nivel local internacional,Maps
Rivera_Maya,3.0,encantaba museo serio cada cierto tiempo exposiciones temporales interesantes gobierno dejo suerte aire acondicionado instalaciones ven abandonadas darles manto repito museo culpa opera centavos gobierno da pocos meses siento cierre inminente aprovechenlo aun visitan unica ventana cultura cancun,Maps
